symbol,name,exch,exchDisp,type,typeDisp
FT1BB.NX,FT1BB.NX,ENX,Euronext,S,Equity
F12332.MI,F12332.MI,MIL,Milan,S,Equity
GBBZ02Q91.BE,GBBZ02Q91.BE,BER,Berlin,S,Equity
GIFI210416C00005000,GIFI Apr 2021 call 5.000,OPR,OPR,O,Option
GU1BB.NX,GU1BB.NX,ENX,Euronext,S,Equity
GW1BB.NX,GW1BB.NX,ENX,Euronext,S,Equity
HE31S.NX,HE31S.NX,ENX,Euronext,S,Equity
HE33S.NX,HE33S.NX,ENX,Euronext,S,Equity
HE34S.NX,HE34S.NX,ENX,Euronext,S,Equity
HE35S.NX,HE35S.NX,ENX,Euronext,S,Equity
HE36S.NX,HE36S.NX,ENX,Euronext,S,Equity
HE37S.NX,HE37S.NX,ENX,Euronext,S,Equity
HE38S.NX,HE38S.NX,ENX,Euronext,S,Equity
HE39S.NX,HE39S.NX,ENX,Euronext,S,Equity
HE61S.NX,HE61S.NX,ENX,Euronext,S,Equity
HE62S.NX,HE62S.NX,ENX,Euronext,S,Equity
HE63S.NX,HE63S.NX,ENX,Euronext,S,Equity
HE68S.NX,HE68S.NX,ENX,Euronext,S,Equity
HF31S.NX,HF31S.NX,ENX,Euronext,S,Equity
HF32S.NX,HF32S.NX,ENX,Euronext,S,Equity
HF33S.NX,HF33S.NX,ENX,Euronext,S,Equity
HF34S.NX,HF34S.NX,ENX,Euronext,S,Equity
HF35S.NX,HF35S.NX,ENX,Euronext,S,Equity
HF36S.NX,HF36S.NX,ENX,Euronext,S,Equity
HF37S.NX,HF37S.NX,ENX,Euronext,S,Equity
HF38S.NX,HF38S.NX,ENX,Euronext,S,Equity
HF39S.NX,HF39S.NX,ENX,Euronext,S,Equity
HF42S.NX,HF42S.NX,ENX,Euronext,S,Equity
HF43S.NX,HF43S.NX,ENX,Euronext,S,Equity
HF44S.NX,HF44S.NX,ENX,Euronext,S,Equity
HF45S.NX,HF45S.NX,ENX,Euronext,S,Equity
HF46S.NX,HF46S.NX,ENX,Euronext,S,Equity
HF47S.NX,HF47S.NX,ENX,Euronext,S,Equity
HF48S.NX,HF48S.NX,ENX,Euronext,S,Equity
HF49S.NX,HF49S.NX,ENX,Euronext,S,Equity
HN01S.NX,HN01S.NX,ENX,Euronext,S,Equity
HN02S.NX,HN02S.NX,ENX,Euronext,S,Equity
HN03S.NX,HN03S.NX,ENX,Euronext,S,Equity
HN04S.NX,HN04S.NX,ENX,Euronext,S,Equity
HN05S.NX,HN05S.NX,ENX,Euronext,S,Equity
HN06S.NX,HN06S.NX,ENX,Euronext,S,Equity
HN08S.NX,HN08S.NX,ENX,Euronext,S,Equity
HN09S.NX,HN09S.NX,ENX,Euronext,S,Equity
HN41S.NX,HN41S.NX,ENX,Euronext,S,Equity
HN42S.NX,HN42S.NX,ENX,Euronext,S,Equity
HN43S.NX,HN43S.NX,ENX,Euronext,S,Equity
HN44S.NX,HN44S.NX,ENX,Euronext,S,Equity
HN45S.NX,HN45S.NX,ENX,Euronext,S,Equity
HN46S.NX,HN46S.NX,ENX,Euronext,S,Equity
HN47S.NX,HN47S.NX,ENX,Euronext,S,Equity
HN48S.NX,HN48S.NX,ENX,Euronext,S,Equity
HN49S.NX,HN49S.NX,ENX,Euronext,S,Equity
IV60A.NX,IV60A.NX,ENX,Euronext,I,Index
LU229052365.F,LU229052365.F,FRA,Frankfurt,S,Equity
NL1275631.BE,NL1275631.BE,BER,Berlin,S,Equity
SGMS210212C00043000,SGMS Feb 2021 call 43.000,OPR,OPR,O,Option
SGMS210219C00043000,SGMS Feb 2021 call 43.000,OPR,OPR,O,Option
SGMS210212C00042000,SGMS Feb 2021 call 42.000,OPR,OPR,O,Option
SGOO.AS,SGOO.AS,AMS,Amsterdam,E,ETF
SKLZ210820C00060000,SKLZ Aug 2021 call 60.000,OPR,OPR,O,Option
SLCA210319C00015000,SLCA Mar 2021 call 15.000,OPR,OPR,O,Option
SLQT210319C00017500,SLQT Mar 2021 call 17.500,OPR,OPR,O,Option
SLRC210219C00022500,SLRC210219C00022500,OPR,OPR,O,Option
SLRC210219P00030000,SLRC Feb 2021 put 30.000,OPR,OPR,O,Option
SNBR210219C00160000,SNBR Feb 2021 call 160.000,OPR,OPR,O,Option
SNFL.AS,SNFL.AS,AMS,Amsterdam,E,ETF
SNSS210219C00007000,SNSS Feb 2021 call 7.000,OPR,OPR,O,Option
^SPCBMIRAEUSD,S&P Asia Pacific Emerging BMI (,SNP,SNP,I,Index
^SPCBMICQWU10USD,S&P Developed Ex U.S. BMI (Capp,SNP,SNP,I,Index
^SPCBMICQWU20USD,S&P Developed Ex U.S. BMI (Capp,SNP,SNP,I,Index
^SPCBMIRWD20303010USD,S&P / Citigroup BMI World Marin,SNP,SNP,I,Index
^SPCBMICQWU35USD,S&P Developed Ex U.S. BMI (Capp,SNP,SNP,I,Index
^SPCBMIRWDUSD1,S&P Developed BMI (USD),SNP,SNP,I,Index
^SPCBMICCNUSD,S&P China BMI ( US Dollar),SNP,SNP,I,Index
SPCX210219C00036000,SPCX Feb 2021 call 36.000,OPR,OPR,O,Option
^SPDV-EU,^SPDV-EU,ASE,NYSE MKT,I,Index
SPDW210820C00037000,SPDW210820C00037000,OPR,OPR,O,Option
SPDW210319C00035000,SPDW210319C00035000,OPR,OPR,O,Option
SPDW210219C00034000,SPDW210219C00034000,OPR,OPR,O,Option
^SPEMHBI,S&P BMI Emerging Markets High B,SNP,SNP,I,Index
SPESG210319P00330000,SPESG210319P00330000,OPR,OPR,O,Option
SPIP210820C00035000,SPIP210820C00035000,OPR,OPR,O,Option
SPIP210820C00034000,SPIP210820C00034000,OPR,OPR,O,Option
SPIP210820C00033000,SPIP210820C00033000,OPR,OPR,O,Option
SPIP210521C00032000,SPIP210521C00032000,OPR,OPR,O,Option
SPLB210521P00025000,SPLB May 2021 put 25.000,OPR,OPR,O,Option
SPLG210319C00044000,SPLG Mar 2021 call 44.000,OPR,OPR,O,Option
SPLV210319C00060000,SPLV Mar 2021 call 60.000,OPR,OPR,O,Option
^SPMTSNUP,S&P GSCI Sector Momentum - Tilt,SNP,SNP,I,Index
^SPMTSNUT,^SPMTSNUT,SNP,SNP,I,Index
SPNE210319P00020000,SPNE210319P00020000,OPR,OPR,O,Option
SPNS210319C00030000,SPNS210319C00030000,OPR,OPR,O,Option
SPNS210219C00040000,SPNS210219C00040000,OPR,OPR,O,Option
SPTKU,SportsTek Acquisition Corp. Unit,NMS,NASDAQ,S,Equity
SPSK10-PRO.OL,SPSK10 PRO,OSL,Oslo,S,Equity
SPSM210319C00044000,SPSM210319C00044000,OPR,OPR,O,Option
^SP1500-10,S&P Composite 1500 Energy (Sect,SNP,SNP,I,Index
^SP2BF10U,^SP2BF10U,WCB,Chicago Board Options Exchange,I,Index
SP210416P00030000,SP Apr 2021 put 30.000,OPR,OPR,O,Option
^SP600-60,S&P 600 Real Estate (Sector),SNP,SNP,I,Index
^SP600-20202010,S&P 600 - Human Resource & Empl,SNP,SNP,I,Index
^SP600-402040,S&P 600 - Mortgage Real Estate ,SNP,SNP,I,Index
^SP600-352010,S&P 600 - Biotechnology (Indust,SNP,SNP,I,Index
SRAX210521C00010000,SRAX210521C00010000,OPR,OPR,O,Option
SRAX210319P00007500,SRAX210319P00007500,OPR,OPR,O,Option
SRAX210219P00007500,SRAX Feb 2021 put 7.500,OPR,OPR,O,Option
SRDX210521C00065000,SRDX210521C00065000,OPR,OPR,O,Option
SRDX210521C00060000,SRDX210521C00060000,OPR,OPR,O,Option
